ht_m;dbh;w_branch;w_roots;w_leaves;w_stem;w_total
11,52;10,24;4,81;5,91;2,19;19,2;32,11
10,24;11,2;4,71;5,79;2,15;20,81;33,46
10,55;12,06;3,89;5,2;2,66;25,23;36,98
10,55;12,13;6,77;6,4;1,81;24,77;39,75
8,97;12,41;7,53;9,26;3,44;20,69;40,92
10,61;12,73;6,05;7,44;2,76;27,22;43,47
9,96;13,87;12,03;17,12;3,48;46,08;78,71
10,77;13,88;6,93;8,52;3,16;36,46;55,07
9,27;14,13;7,94;9,76;3,62;32,23;53,55
11,14;14,32;10,16;12,49;4,63;33,86;61,14
12,57;14,71;12,04;14,81;5,49;44,16;76,5
12,49;15,15;12,85;15,8;5,86;46,73;81,24
10,89;15,23;18,72;15,75;5,77;55,66;95,9
10,85;15,72;8,35;10,3;5,46;45,75;69,86
12,8;16,11;14,02;17,25;6,4;51,31;88,98
11,25;16,42;15,71;19,32;7,16;47,19;89,38
10,81;16,55;13,24;15,69;6,91;55,28;91,12
11,59;18,27;28;31,26;11,17;71,08;141,51
12,3;19,29;21,02;25,85;9,59;71,4;127,86
11,92;19,73;20,82;25,6;9,49;69,7;125,61
12,78;20,24;17,05;20,97;7,78;81,29;127,09
7,65;9,36;2,96;3,64;1,35;14,98;22,93
9,97;9,55;1,82;2,23;0,83;15,05;19,93
6,83;9,77;1,57;5,66;1,77;12,4;21,4
